##For information about the Annotation file content, please see the bundled README file.
#%create_date=2009-03-02 PST 12:00:00
#%chip_type=HG-U133_Plus_2
#%genome-species=Homo sapiens
#%genome-version=NCBI Build 36.1
#%genome-version-ucsc=hg18
#%genome-version-ncbi=NCBI Build 36.1
#%genome-version-create_date=March 2006
#%netaffx-annotation-date=2009-03-16
#%netaffx-annotation-netaffx-build=28
#%netaffx-annotation-tabular-data-version=1.0
#%netaffx-annotation-tabular-format-version=1.0
Probe Set ID	Gene Symbol	Entrez Gene
1553064_at	H1FOO	132243
1553066_at	TAAR9	134860
1553067_a_at	GNRHR2	114814
1553069_at	C21orf87	257357
1553070_a_at	MYOZ3	91977
1553071_a_at	MYOZ3	91977
1553072_at	BNIPL	149428
1553074_at	ASB11	140456
1553075_a_at	OFCC1	266553
1553076_at	OFCC1	266553
1553077_at	SDR9C7	121214
1553078_at	OR5P3	120066
1553079_at	TRIM40	135644
1553080_at	CSN1S2A	286828
1553081_at	WFDC12	128488
1553082_at	CRYGN	155051
1553083_at	---	---
1553084_at	STARD6	147323
1553086_at	C11orf40	143501
1553087_at	C18orf12	84322
1553088_a_at	BCL2L11	10018
1553089_a_at	WFDC2	10406
1553093_a_at	DEFB119	245932
1553094_at	TAC4	255061
1553096_s_at	BCL2L11	10018
1553099_at	TIGD1	200765
1553101_a_at	ALKBH5	54890
1553102_a_at	CCDC69	26112
1553103_at	NFX1	4799
1553105_s_at	DSG2	1829
1553106_at	C5orf24	134553
1553107_s_at	C5orf24	134553
1553108_at	C5orf24	134553
1553111_a_at	KBTBD6	89890
1553112_s_at	CDK8	1024
1553113_s_at	CDK8	1024
1553114_a_at	PTK6	5753
1553115_at	NKD1	85407
1553117_a_at	STK38	11329
1553118_at	THEM4	117145
1553120_at	CLSPN	63967
1553122_s_at	RBAK	57786
1553123_at	WDR62	284403
1553125_x_at	WDR62	284403
1553126_a_at	SLC39A12	221074
1553127_a_at	RNF168	165918
1553129_at	SVEP1	79987
1553130_at	PRO0461	652276
1553131_a_at	GATA4	2626
1553132_a_at	TC2N	123036
1553133_at	C9orf72	203228
1553134_s_at	C9orf72	203228
1553136_at	KCTD18	130535
1553137_s_at	KLF11	8462
1553138_a_at	ANKLE1	126549
1553139_s_at	PLXNA3	55558
1553140_at	PELO	53918
1553141_at	C13orf31	144811
1553142_at	C13orf31	144811
1553145_at	FLJ39653	202020
1553146_at	C3orf30	152405
1553147_at	RANBP3L	202151
1553148_a_at	SNX13	23161
1553150_at	AOF1	221656
1553151_at	ATP6V0D2	245972
1553153_at	ATP6V0D2	245972
1553155_x_at	ATP6V0D2	245972
1553156_at	LHX4	89884
1553157_at	LHX4	89884
1553158_at	C3orf34	84984
1553159_at	DNAH11	8701
