PATIENT_ID	SAMPLE_ID	ARRAY_DESIGN	RDA_FILE	RDA_DESCRIPTION
KIT_159B47	KIT_159B47_SEL	U133A	Loi_plier-mm_GSEA6532_GPL96_T.Rda	Plier Normalized using U133A GPL96 platform
KIT_15C94	KIT_15C94_SEL	U133A	Loi_plier-mm_GSEA6532_GPL96_T.Rda	Plier Normalized using U133A GPL96 platform
KIT_162B98	KIT_162B98_SEL	U133A	Loi_plier-mm_GSEA6532_GPL96_T.Rda	Plier Normalized using U133A GPL96 platform
KIT_165B72	KIT_165B72_SEL	U133A	Loi_plier-mm_GSEA6532_GPL96_T.Rda	Plier Normalized using U133A GPL96 platform
KIT_166B79	KIT_166B79_SEL	U133A	Loi_plier-mm_GSEA6532_GPL96_T.Rda	Plier Normalized using U133A GPL96 platform
KIT_169B79	KIT_169B79_SEL	U133A	Loi_plier-mm_GSEA6532_GPL96_T.Rda	Plier Normalized using U133A GPL96 platform
KIT_170B15	KIT_170B15_SEL	U133A	Loi_plier-mm_GSEA6532_GPL96_T.Rda	Plier Normalized using U133A GPL96 platform
KIT_171B77	KIT_171B77_SEL	U133A	Loi_plier-mm_GSEA6532_GPL96_T.Rda	Plier Normalized using U133A GPL96 platform
KIT_173B43	KIT_173B43_SEL	U133A	Loi_plier-mm_GSEA6532_GPL96_T.Rda	Plier Normalized using U133A GPL96 platform
KIT_17C40	KIT_17C40_SEL	U133A	Loi_plier-mm_GSEA6532_GPL96_T.Rda	Plier Normalized using U133A GPL96 platform
KIT_183B75	KIT_183B75_SEL	U133A	Loi_plier-mm_GSEA6532_GPL96_T.Rda	Plier Normalized using U133A GPL96 platform
KIT_186B22	KIT_186B22_SEL	U133A	Loi_plier-mm_GSEA6532_GPL96_T.Rda	Plier Normalized using U133A GPL96 platform
KIT_189B83	KIT_189B83_SEL	U133A	Loi_plier-mm_GSEA6532_GPL96_T.Rda	Plier Normalized using U133A GPL96 platform
KIT_191B79	KIT_191B79_SEL	U133A	Loi_plier-mm_GSEA6532_GPL96_T.Rda	Plier Normalized using U133A GPL96 platform
KIT_193B72	KIT_193B72_SEL	U133A	Loi_plier-mm_GSEA6532_GPL96_T.Rda	Plier Normalized using U133A GPL96 platform
KIT_194B60	KIT_194B60_SEL	U133A	Loi_plier-mm_GSEA6532_GPL96_T.Rda	Plier Normalized using U133A GPL96 platform
KIT_202B44	KIT_202B44_SEL	U133A	Loi_plier-mm_GSEA6532_GPL96_T.Rda	Plier Normalized using U133A GPL96 platform
KIT_203B49	KIT_203B49_SEL	U133A	Loi_plier-mm_GSEA6532_GPL96_T.Rda	Plier Normalized using U133A GPL96 platform
KIT_207C08	KIT_207C08_SEL	U133A	Loi_plier-mm_GSEA6532_GPL96_T.Rda	Plier Normalized using U133A GPL96 platform
KIT_212C21	KIT_212C21_SEL	U133A	Loi_plier-mm_GSEA6532_GPL96_T.Rda	Plier Normalized using U133A GPL96 platform
KIT_216C61	KIT_216C61_SEL	U133A	Loi_plier-mm_GSEA6532_GPL96_T.Rda	Plier Normalized using U133A GPL96 platform
KIT_225C52	KIT_225C52_SEL	U133A	Loi_plier-mm_GSEA6532_GPL96_T.Rda	Plier Normalized using U133A GPL96 platform
KIT_230C47	KIT_230C47_SEL	U133A	Loi_plier-mm_GSEA6532_GPL96_T.Rda	Plier Normalized using U133A GPL96 platform
KIT_235C20	KIT_235C20_SEL	U133A	Loi_plier-mm_GSEA6532_GPL96_T.Rda	Plier Normalized using U133A GPL96 platform
KIT_238C87	KIT_238C87_SEL	U133A	Loi_plier-mm_GSEA6532_GPL96_T.Rda	Plier Normalized using U133A GPL96 platform
KIT_239C32	KIT_239C32_SEL	U133A	Loi_plier-mm_GSEA6532_GPL96_T.Rda	Plier Normalized using U133A GPL96 platform
KIT_244C89	KIT_244C89_SEL	U133A	Loi_plier-mm_GSEA6532_GPL96_T.Rda	Plier Normalized using U133A GPL96 platform
KIT_245C22	KIT_245C22_SEL	U133A	Loi_plier-mm_GSEA6532_GPL96_T.Rda	Plier Normalized using U133A GPL96 platform
KIT_252C64	KIT_252C64_SEL	U133A	Loi_plier-mm_GSEA6532_GPL96_T.Rda	Plier Normalized using U133A GPL96 platform
KIT_254C80	KIT_254C80_SEL	U133A	Loi_plier-mm_GSEA6532_GPL96_T.Rda	Plier Normalized using U133A GPL96 platform
KIT_256C45	KIT_256C45_SEL	U133A	Loi_plier-mm_GSEA6532_GPL96_T.Rda	Plier Normalized using U133A GPL96 platform
KIT_271C71	KIT_271C71_SEL	U133A	Loi_plier-mm_GSEA6532_GPL96_T.Rda	Plier Normalized using U133A GPL96 platform
KIT_27C82	KIT_27C82_SEL	U133A	Loi_plier-mm_GSEA6532_GPL96_T.Rda	Plier Normalized using U133A GPL96 platform
KIT_288C57	KIT_288C57_SEL	U133A	Loi_plier-mm_GSEA6532_GPL96_T.Rda	Plier Normalized using U133A GPL96 platform
KIT_289C75	KIT_289C75_SEL	U133A	Loi_plier-mm_GSEA6532_GPL96_T.Rda	Plier Normalized using U133A GPL96 platform
KIT_291C17	KIT_291C17_SEL	U133A	Loi_plier-mm_GSEA6532_GPL96_T.Rda	Plier Normalized using U133A GPL96 platform
KIT_298C47	KIT_298C47_SEL	U133A	Loi_plier-mm_GSEA6532_GPL96_T.Rda	Plier Normalized using U133A GPL96 platform
KIT_301C66	KIT_301C66_SEL	U133A	Loi_plier-mm_GSEA6532_GPL96_T.Rda	Plier Normalized using U133A GPL96 platform
KIT_307C50	KIT_307C50_SEL	U133A	Loi_plier-mm_GSEA6532_GPL96_T.Rda	Plier Normalized using U133A GPL96 platform
KIT_311A27	KIT_311A27_SEL	U133A	Loi_plier-mm_GSEA6532_GPL96_T.Rda	Plier Normalized using U133A GPL96 platform
KIT_313A87	KIT_313A87_SEL	U133A	Loi_plier-mm_GSEA6532_GPL96_T.Rda	Plier Normalized using U133A GPL96 platform
KIT_35C29	KIT_35C29_SEL	U133A	Loi_plier-mm_GSEA6532_GPL96_T.Rda	Plier Normalized using U133A GPL96 platform
KIT_39C24	KIT_39C24_SEL	U133A	Loi_plier-mm_GSEA6532_GPL96_T.Rda	Plier Normalized using U133A GPL96 platform
KIT_40C57	KIT_40C57_SEL	U133A	Loi_plier-mm_GSEA6532_GPL96_T.Rda	Plier Normalized using U133A GPL96 platform
