REPORTER ID 	miRNA ID
A_25_P00012887	hsa-miR-300
A_25_P00010840	hsa-miR-301a
A_25_P00013024	hsa-miR-301b
A_25_P00010982	hsa-miR-302a
A_25_P00013491	hsa-miR-302a*
A_25_P00010620	hsa-miR-302b
A_25_P00013513	hsa-miR-302b*
A_25_P00010536	hsa-miR-302c
A_25_P00010506	hsa-miR-302c*
A_25_P00010162	hsa-miR-302d
A_25_P00013515	hsa-miR-302d*
A_25_P00010680	hsa-miR-30a
A_25_P00010827	hsa-miR-30a*
A_25_P00013922	hsa-miR-30b
A_25_P00013382	hsa-miR-30b*
A_25_P00013883	hsa-miR-30c
A_25_P00013489	hsa-miR-30c-1*
A_25_P00013286	hsa-miR-30c-2*
A_25_P00010682	hsa-miR-30d
A_25_P00013291	hsa-miR-30d*
A_25_P00012300	hsa-miR-30e
A_25_P00010838	hsa-miR-30e*
A_25_P00012019	hsa-miR-31
A_25_P00013214	hsa-miR-31*
A_25_P00012022	hsa-miR-32
A_25_P00013219	hsa-miR-32*
A_25_P00012262	hsa-miR-320
A_25_P00014856	hsa-miR-323-3p
A_25_P00012369	hsa-miR-323-5p
A_25_P00010539	hsa-miR-324-3p
A_25_P00010154	hsa-miR-324-5p
A_25_P00010179	hsa-miR-325
A_25_P00010671	hsa-miR-326
A_25_P00010263	hsa-miR-328
A_25_P00010019	hsa-miR-329
A_25_P00011048	hsa-miR-330-3p
A_25_P00012345	hsa-miR-330-5p
A_25_P00011117	hsa-miR-331-3p
A_25_P00012385	hsa-miR-331-5p
A_25_P00010212	hsa-miR-335
A_25_P00013557	hsa-miR-335*
A_25_P00012366	hsa-miR-337-3p
A_25_P00012361	hsa-miR-337-5p
A_25_P00012396	hsa-miR-338-3p
A_25_P00012392	hsa-miR-338-5p
A_25_P00012402	hsa-miR-339-3p
A_25_P00012399	hsa-miR-339-5p
A_25_P00012027	hsa-miR-33a
A_25_P00013223	hsa-miR-33a*
A_25_P00012824	hsa-miR-33b
A_25_P00013649	hsa-miR-33b*
A_25_P00012343	hsa-miR-340
A_25_P00013545	hsa-miR-340*
A_25_P00012358	hsa-miR-342-3p
A_25_P00012353	hsa-miR-342-5p
A_25_P00012409	hsa-miR-345
A_25_P00010370	hsa-miR-346
A_25_P00012085	hsa-miR-34a
A_25_P00013310	hsa-miR-34a*
A_25_P00012281	hsa-miR-34b
