REPORTER ID 	miRNA ID
A_25_P00010019	hsa-miR-329
A_25_P00011295	hsa-miR-561-3p
A_25_P00011296	hsa-miR-561-3p
A_25_P00011297	hsa-miR-569
A_25_P00011298	hsa-miR-569
A_25_P00011299	hsa-miR-767-3p
A_25_P00011300	hsa-miR-767-3p
A_25_P00011301	hsa-miR-767-3p
A_25_P00011302	hsa-miR-767-3p
A_25_P00011303	hsa-miR-609
A_25_P00011304	hsa-miR-609
A_25_P00011309	hsa-miR-621
A_25_P00011311	hsa-miR-621
A_25_P00011312	hsa-miR-621
A_25_P00011318	hsa-miR-555
A_25_P00011319	hsa-miR-555
A_25_P00011320	hsa-miR-555
A_25_P00011325	hsa-miR-558
A_25_P00011326	hsa-miR-558
A_25_P00011327	hsa-miR-651
A_25_P00011329	hsa-miR-651
A_25_P00011330	hsa-miR-651
A_25_P00011335	hsa-miR-642a-5p
A_25_P00011336	hsa-miR-642a-5p
A_25_P00011337	hsa-miR-642a-5p
A_25_P00011338	hsa-miR-642a-5p
A_25_P00011341	hsa-miR-765
A_25_P00011342	hsa-miR-765
A_25_P00011345	hsa-miR-767-5p
A_25_P00011346	hsa-miR-767-5p
A_25_P00011347	hsa-miR-767-5p
A_25_P00011348	hsa-miR-767-5p
A_25_P00011350	hsa-miR-596
A_25_P00011351	hsa-miR-596
A_25_P00011352	hsa-miR-596
A_25_P00011353	hsa-miR-580
A_25_P00011354	hsa-miR-580
A_25_P00011355	hsa-miR-580
A_25_P00011357	hsa-miR-657
A_25_P00011358	hsa-miR-657
A_25_P00011359	hsa-miR-657
A_25_P00011361	hsa-miR-643
A_25_P00011362	hsa-miR-643
A_25_P00011363	hsa-miR-643
A_25_P00011364	hsa-miR-573
A_25_P00011366	hsa-miR-573
A_25_P00011367	hsa-miR-573
A_25_P00011368	hsa-miR-647
A_25_P00011369	hsa-miR-647
A_25_P00011370	hsa-miR-647
A_25_P00011371	hsa-miR-647
A_25_P00011372	hsa-miR-649
A_25_P00011373	hsa-miR-649
A_25_P00011374	hsa-miR-649
A_25_P00011375	hsa-miR-649
A_25_P00011376	hsa-miR-600
A_25_P00011377	hsa-miR-600
A_25_P00011379	hsa-miR-600
A_25_P00011380	hsa-miR-641
A_25_P00011381	hsa-miR-641
A_25_P00011383	hsa-miR-641
A_25_P00011388	hsa-miR-562
A_25_P00011389	hsa-miR-562
A_25_P00011390	hsa-miR-562
A_25_P00011391	hsa-miR-562
A_25_P00011400	hsa-miR-646
A_25_P00011403	hsa-miR-644a
A_25_P00011404	hsa-miR-644a
A_25_P00011405	hsa-miR-644a
A_25_P00011406	hsa-miR-593-5p
A_25_P00011408	hsa-miR-593-5p
A_25_P00011409	hsa-miR-593-5p
A_25_P00011410	hsa-miR-766-3p
A_25_P00011411	hsa-miR-766-3p
A_25_P00011414	hsa-miR-635
A_25_P00011415	hsa-miR-635
A_25_P00011418	hsa-miR-586
A_25_P00011419	hsa-miR-586
A_25_P00011420	hsa-miR-586
A_25_P00011421	hsa-miR-613
A_25_P00011422	hsa-miR-613
A_25_P00011425	hsa-miR-563
A_25_P00011426	hsa-miR-563
A_25_P00011427	hsa-miR-563
A_25_P00011429	hsa-miR-758-3p
A_25_P00011430	hsa-miR-758-3p
A_25_P00011432	hsa-miR-668
A_25_P00011433	hsa-miR-668
A_25_P00011445	hsa-miR-587
A_25_P00011446	hsa-miR-587
A_25_P00011447	hsa-miR-587
A_25_P00011448	hsa-miR-607
A_25_P00011449	hsa-miR-607
A_25_P00011454	hsa-miR-588
A_25_P00011455	hsa-miR-588
A_25_P00011456	hsa-miR-588
A_25_P00011457	hsa-miR-566
A_25_P00011458	hsa-miR-566
A_25_P00011461	hsa-miR-599
A_25_P00011462	hsa-miR-599
A_25_P00011471	hsa-miR-551a
A_25_P00011473	hsa-miR-551a
A_25_P00011474	hsa-miR-551a
A_25_P00011476	hsa-miR-770-5p
A_25_P00011477	hsa-miR-770-5p
A_25_P00011479	hsa-miR-552
A_25_P00011480	hsa-miR-552
A_25_P00011481	hsa-miR-552
A_25_P00011584	hsa-let-7a-5p
A_25_P00011586	hsa-miR-578
A_25_P00011587	hsa-miR-591
A_25_P00011591	hsa-miR-618
A_25_P00011592	hsa-miR-581
A_25_P00011593	hsa-miR-554
A_25_P00011594	hsa-miR-619
A_25_P00011595	hsa-miR-561-3p
A_25_P00011596	hsa-miR-569
A_25_P00011597	hsa-miR-609
A_25_P00011599	hsa-miR-621
A_25_P00011601	hsa-miR-555
A_25_P00011603	hsa-miR-606
A_25_P00011604	hsa-miR-606
A_25_P00011605	hsa-miR-558
A_25_P00011606	hsa-miR-651
A_25_P00011608	hsa-miR-675-5p
A_25_P00011609	hsa-miR-675-5p
A_25_P00011610	hsa-miR-675-5p
A_25_P00011611	hsa-miR-675-5p
A_25_P00011613	hsa-miR-596
A_25_P00011614	hsa-miR-580
A_25_P00011615	hsa-miR-657
A_25_P00011616	hsa-miR-643
A_25_P00011618	hsa-miR-573
A_25_P00011619	hsa-miR-600
A_25_P00011621	hsa-miR-641
A_25_P00011624	hsa-miR-644a
A_25_P00011626	hsa-miR-586
A_25_P00011627	hsa-miR-613
A_25_P00011628	hsa-miR-613
A_25_P00011629	hsa-miR-563
A_25_P00011633	hsa-miR-587
A_25_P00011634	hsa-miR-588
A_25_P00011636	hsa-miR-599
A_25_P00011638	hsa-miR-551a
A_25_P00011640	hsa-miR-633
A_25_P00011641	hsa-miR-633
A_25_P00011642	hsa-miR-559
A_25_P00011643	hsa-miR-559
A_25_P00011942	hsa-miR-520f
A_25_P00011943	hsa-miR-639
A_25_P00011944	hsa-miR-639
A_25_P00011945	hsa-miR-658
A_25_P00011946	hsa-miR-658
A_25_P00011947	hsa-miR-658
A_25_P00011948	hsa-miR-637
A_25_P00011949	hsa-miR-637
A_25_P00011950	hsa-miR-637
A_25_P00011951	hsa-miR-661
A_25_P00011952	hsa-miR-661
A_25_P00011953	hsa-miR-661
A_25_P00011954	hsa-miR-769-5p
A_25_P00011955	hsa-miR-769-5p
A_25_P00011962	hsa-miR-646
A_25_P00011963	hsa-miR-646
A_25_P00011964	hsa-miR-766-3p
A_25_P00011965	hsa-miR-766-3p
A_25_P00011966	hsa-miR-635
A_25_P00011967	hsa-miR-635
A_25_P00011968	hsa-miR-758-3p
A_25_P00011969	hsa-miR-758-3p
A_25_P00011970	hsa-miR-668
A_25_P00011971	hsa-miR-668
A_25_P00011978	hsa-miR-770-5p
A_25_P00011979	hsa-miR-770-5p
A_25_P00011980	hsa-let-7d-5p
A_25_P00011981	hsa-let-7d-5p
A_25_P00011984	hsa-let-7e-5p
A_25_P00011985	hsa-let-7e-5p
A_25_P00011991	hsa-miR-17-5p
A_25_P00011993	hsa-miR-18a-5p
A_25_P00011994	hsa-miR-18a-5p
A_25_P00011998	hsa-miR-26a-5p
A_25_P00011999	hsa-miR-26a-5p
A_25_P00012001	hsa-miR-26b-5p
A_25_P00012002	hsa-miR-26b-5p
A_25_P00012006	hsa-miR-28-3p
A_25_P00012007	hsa-miR-28-3p
A_25_P00012008	hsa-miR-28-3p
A_25_P00012009	hsa-miR-28-3p
A_25_P00012012	hsa-miR-29a-3p
A_25_P00012013	hsa-miR-29a-3p
A_25_P00012019	hsa-miR-31-5p
A_25_P00012020	hsa-miR-32-5p
A_25_P00012021	hsa-miR-32-5p
A_25_P00012022	hsa-miR-32-5p
A_25_P00012023	hsa-miR-32-5p
A_25_P00012026	hsa-miR-33a-5p
A_25_P00012027	hsa-miR-33a-5p
A_25_P00012030	hsa-miR-92a-3p
