REPORTER_ID	GENE_SYMBOL
7927801	ANXA2P3
8095986	ANXA3
8042468	ANXA4
8102619	ANXA5
8115234	ANXA6
7934367	ANXA7
7927367	ANXA8
7933312	ANXA8L1
7927307	ANXA8L2
7905283	ANXA9
8139033	AOAH
8007414	AOC2
8007420	AOC3
8007427	AOC3
8047300	AOX1
8096905	AP1AR
8075217	AP1B1
8002592	AP1G1
7978066	AP1G2
8026548	AP1M1
8034084	AP1M2
8135080	AP1S1
8017210	AP1S2
8171481	AP1S2
8059350	AP1S3
8030470	AP2A1
7937533	AP2A2
8006542	AP2B1
8084345	AP2M1
8037847	AP2S1
8112772	AP3B1
7990987	AP3B2
8032418	AP3D1
7934513	AP3M1
8146159	AP3M2
8107421	AP3S1
7991357	AP3S2
7918703	AP4B1
7983679	AP4E1
8134712	AP4M1
7973813	AP4S1
7957759	APAF1
8161618	APBA1
7982187	APBA2
8032670	APBA3
7946149	APBB1
7926786	APBB1IP
8099982	APBB2
8114593	APBB3
8107330	APC
8024306	APC2
8020141	APCDD1
8067270	APCDD1L
7906458	APCS
8079772	APEH
7973056	APEX1
8167854	APEX2
7919729	APH1A
7984124	APH1B
7939424	API5
7947490	APIP
7897632	APITD1-CORT
8042402	APLF
8175016	APLN
7948167	APLNR
8028084	APLP1
7945182	APLP2
7951865	APOA1
8077185	APOA1
7906185	APOA1BP
7921834	APOA2
7951859	APOA4
8077192	APOA4
7951853	APOA5
8050619	APOB
7994353	APOB48R
7960821	APOBEC1
8119403	APOBEC2
8073056	APOBEC3A
8073062	APOBEC3B
8073068	APOBEC3C
8073072	APOBEC3D
8073081	APOBEC3F
8073088	APOBEC3G
8073096	APOBEC3H
7922804	APOBEC4
8029536	APOC1
8029551	APOC2
7944035	APOC3
8077204	APOC3
8029541	APOC4
8029547	APOC4
8092970	APOD
8029530	APOE
7964142	APOF
8017766	APOH
8072735	APOL1
8075720	APOL2
8075695	APOL3
8075709	APOL4
8072721	APOL5
8072710	APOL6
7954055	APOLD1
8118209	APOM
8178043	APOM
8179291	APOM
8171823	APOO
8168580	APOOL
8069644	APP
8017235	APPBP2
8080645	APPL1
7966003	APPL2
8003401	APRT
8160602	APTX
8132118	AQP1
7905746	AQP10
7942774	AQP11
8049729	AQP12A
8060126	AQP12A
7955290	AQP2
8160670	AQP3
8022655	AQP4
7955297	AQP5
7955305	AQP6
8160663	AQP7
8155442	AQP7P1
8155554	AQP7P1
8161488	AQP7P1
8161558	AQP7P1
7994252	AQP8
7983910	AQP9
8107429	AQPEP
8113658	AQPEP
7987325	AQR
8167998	AR
8167165	ARAF
8133021	ARAF2P
8139804	ARAF2P
7950197	ARAP1
8099760	ARAP2
8114733	ARAP3
8153322	ARC
7944285	ARCN1
8095736	AREG
8095744	AREG
7910229	ARF1
7962904	ARF3
8088339	ARF4
8135856	ARF5
7974249	ARF6
8064042	ARFGAP1
7947784	ARFGAP2
8076515	ARFGAP3
8151149	ARFGEF1
8063242	ARFGEF2
8097813	ARFIP1
7946201	ARFIP2
8067727	ARFRP1
8122058	ARG1
7975268	ARG2
8081989	ARGFX
7972723	ARGLU1
7947681	ARHGAP1
8097717	ARHGAP10
8103092	ARHGAP10
7982358	ARHGAP11A
7982287	ARHGAP11B
7932885	ARHGAP12
8045563	ARHGAP15
8000375	ARHGAP17
8129458	ARHGAP18
7935403	ARHGAP19
7951565	ARHGAP20
7932554	ARHGAP21
7933469	ARHGAP22
8006779	ARHGAP23
8006786	ARHGAP23
8096160	ARHGAP24
8042416	ARHGAP25
8108873	ARHGAP26
8016215	ARHGAP27
8019964	ARHGAP28
7917850	ARHGAP29
7921752	ARHGAP30
8081838	ARHGAP31
7952641	ARHGAP32
8028030	ARHGAP33
8169931	ARHGAP36
8153876	ARHGAP39
8175900	ARHGAP4
8062532	ARHGAP40
7943349	ARHGAP42
8005064	ARHGAP44
7973840	ARHGAP5
8171313	ARHGAP6
7964436	ARHGAP9
8019263	ARHGDIA
8019765	ARHGDIA
7961532	ARHGDIB
7991800	ARHGDIG
7991809	ARHGDIG
8029147	ARHGEF1
8144281	ARHGEF10
8144315	ARHGEF10
7898483	ARHGEF10L
7921179	ARHGEF11
7944560	ARHGEF12
8004842	ARHGEF15
7897154	ARHGEF16
7942417	ARHGEF17
8025142	ARHGEF18
7912724	ARHGEF19
7920877	ARHGEF2
7956551	ARHGEF25
8083471	ARHGEF26
8088247	ARHGEF3
8109161	ARHGEF37
8096682	ARHGEF38
8045229	ARHGEF4
7973158	ARHGEF40
8136987	ARHGEF5
8143610	ARHGEF5
8175393	ARHGEF6
7970111	ARHGEF7
8173217	ARHGEF9
7899220	ARID1A
8122971	ARID1B
7955019	ARID2
8024078	ARID3A
7902592	ARID3B
7984843	ARID3B
8160849	ARID3C
7974621	ARID4A
7925201	ARID4B
8043621	ARID5A
8043630	ARID5A
7927732	ARID5B
7984641	ARIH1
8079662	ARIH2
8087234	ARIH2
7965789	ARL1
8110158	ARL10
7969145	ARL11
8168781	ARL13A
8081115	ARL13B
8083743	ARL14
8112033	ARL15
8007794	ARL17A
8016285	ARL17A
8016300	ARL17A
7941104	ARL2
7996012	ARL2BP
7936041	ARL3
8131573	ARL4A
8059854	ARL4C
8007493	ARL4D
8055862	ARL5A
7926531	ARL5B
8014787	ARL5C
8081158	ARL6
7999834	ARL6IP1
7959549	ARL6IP4
8080926	ARL6IP5
8045768	ARL6IP6
7923394	ARL8A
8077450	ARL8B
8095246	ARL9
8151066	ARMC1
8089034	ARMC10
8135229	ARMC10
8121370	ARMC2
7926638	ARMC3
7932744	ARMC4
7995193	ARMC5
8027117	ARMC6
8009755	ARMC7
8082940	ARMC8
8049044	ARMC9
8168868	ARMCX1
8174092	ARMCX2
8168875	ARMCX3
8168855	ARMCX4
8168958	ARMCX5
8168873	ARMCX6
8174086	ARMCX6
7919825	ARNT
7985285	ARNT2
7938563	ARNTL
7954527	ARNTL2
8134581	ARPC1A
8134552	ARPC1B
8048234	ARPC2
7966315	ARPC3
8077652	ARPC4
7922793	ARPC5
8157828	ARPC5L
8092002	ARPM1
7988963	ARPP19
8110618	ARPP19
8078497	ARPP21
8168117	ARR3
7950473	ARRB1
8003903	ARRB2
8159692	ARRDC1
8026915	ARRDC2
8113073	ARRDC3
7986350	ARRDC4
8077160	ARSA
8112807	ARSB
8171148	ARSD
8171161	ARSE
8165843	ARSF
8009443	ARSG
8165833	ARSH
8115144	ARSI
8102440	ARSJ
8106962	ARSK
7937882	ART1
8095806	ART3
7961507	ART4
7945882	ART5
7900878	ARTN
7910494	ARV1
8074522	ARVCF
8082583	ARVP6125
8171867	ARX
7930181	AS3MT
8149534	ASAH1
7927599	ASAH2
7933341	ASAH2
7933597	ASAH2
7952341	ASAM
8152867	ASAP1
8040113	ASAP2
7913609	ASAP3
8049657	ASB1
8143887	ASB10
8171403	ASB11
8173238	ASB12
7931863	ASB13
8088292	ASB14
8135804	ASB15
8007584	ASB16
7917082	ASB17
8059868	ASB18
7981020	ASB2
8052125	ASB3
8134376	ASB4
8103812	ASB5
8164572	ASB6
7986433	ASB7
7962783	ASB8
8171392	ASB9
7934228	ASCC1
8075285	ASCC2
8128472	ASCC3
7958051	ASCL1
7945730	ASCL2
7946436	ASCL3
7958396	ASCL4
7923317	ASCL5
8121734	ASF1A
8034772	ASF1B
8012043	ASGR1
8012028	ASGR2
7920766	ASH1L
8145894	ASH2L
8061982	ASIP
8133122	ASL
8165773	ASMT
8176342	ASMT
8171119	ASMTL
8177011	ASMTL
8165765	ASMTL-AS
8176336	ASMTL-AS
8026024	ASNA1
8141150	ASNS
8046997	ASNSD1
8003814	ASPA
8038577	ASPDH
7977203	ASPG
8150988	ASPH
7994675	ASPHD1
8072108	ASPHD2
7923086	ASPM
8162394	ASPN
8052828	ASPRV1
8010702	ASPSCR1
7940643	ASRGL1
8158671	ASS1
8090664	ASTE1
8053872	ASTL
7922525	ASTN1
8163678	ASTN2
8061725	ASXL1
8050875	ASXL2
8020844	ASXL3
8142480	ASZ1
7934870	ATAD1
8152668	ATAD2
8050658	ATAD2B
7896952	ATAD3A
7896961	ATAD3B
7896937	ATAD3C
8006187	ATAD5
8117965	ATAT1
8177834	ATAT1
8179149	ATAT1
8024712	ATCAY
7936762	ATE1
7955425	ATF1
8056909	ATF2
7909610	ATF3
8073148	ATF4
8030557	ATF5
7906819	ATF6
8125295	ATF6B
8178727	ATF6B
7963698	ATF7
7954104	ATF7IP
7993167	ATF7IP2
8106709	ATG10
8113651	ATG12
7939676	ATG13
7979328	ATG14
8049271	ATG16L1
7942381	ATG16L2
7949277	ATG2A
7981192	ATG2B
7981217	ATG2B
8089527	ATG3
8169272	ATG4A
8169291	ATG4A
8049888	ATG4B
8077211	ATG4B
7901895	ATG4C
8025659	ATG4D
8128592	ATG5
8077858	ATG7
8059139	ATG9A
8143803	ATG9B
7937314	ATHL1
8048120	ATIC
7974270	ATL1
8051589	ATL2
7948995	ATL3
7948997	ATL3
7943620	ATM
7997396	ATMIN
8156575	ATMIN
7953547	ATN1
8096461	ATOH1
7933978	ATOH7
8043244	ATOH8
8115346	ATOX1
7986789	ATP10A
8115623	ATP10B
8094911	ATP10D
7970162	ATP11A
8084173	ATP11B
8175492	ATP11C
7968062	ATP12A
8035737	ATP13A1
7912898	ATP13A2
8092849	ATP13A3
8092800	ATP13A4
8092769	ATP13A5
7904254	ATP1A1
7906501	ATP1A2
8037079	ATP1A3
7906527	ATP1A4
7907160	ATP1B1
8004545	ATP1B2
8083136	ATP1B3
8169687	ATP1B4
7994463	ATP2A1
7958644	ATP2A2
8011516	ATP2A3
7965359	ATP2B1
8085311	ATP2B2
8170671	ATP2B3
7908940	ATP2B4
8082607	ATP2C1
7997593	ATP2C2
8036110	ATP4A
7972923	ATP4B
8023063	ATP5A1
7964234	ATP5B
7926084	ATP5C1
8024219	ATP5D
8067288	ATP5E
7968270	ATP5EP2
7903972	ATP5F1
8008132	ATP5G1
7963713	ATP5G2
8056930	ATP5G3
8018288	ATP5H
8098762	ATP5I
8069633	ATP5J
8141295	ATP5J2
7944216	ATP5L
8076493	ATP5L2
8070160	ATP5O
7974257	ATP5S
8037037	ATP5SL
8170882	ATP6AP1
