REPORTER ID	GENE SYMBOL
ILMN_3168457	hsa-miR-484
ILMN_3167652	hsa-miR-452*:9.1
ILMN_3168105	hsa-miR-148a
ILMN_3168426	hsa-miR-148b
ILMN_3168346	hsa-miR-152
ILMN_3168111	hsa-miR-376a
ILMN_3168031	hsa-miR-519e*
ILMN_3168362	HS_122.1
ILMN_3167803	hsa-miR-525-5p
ILMN_3168069	HS_163
ILMN_3168455	hsa-miR-770-5p
ILMN_3167368	HS_6
ILMN_3168055	hsa-miR-642
ILMN_3168389	hsa-miR-125b
ILMN_3167670	hsa-miR-125a-5p
ILMN_3167811	hsa-miR-623
ILMN_3167508	hsa-miR-615-3p
ILMN_3167466	HS_143
ILMN_3167492	hsa-miR-572
ILMN_3167053	hsa-miR-671-3p
ILMN_3167590	HS_91.1
ILMN_3167705	HS_263.1
ILMN_3167240	hsa-miR-486-5p
ILMN_3167526	HS_101
ILMN_3167097	HS_261.1
ILMN_3168353	HS_38.1
ILMN_3167031	hsa-miR-127-3p
ILMN_3167175	hsa-miR-542-5p
ILMN_3167805	hsa-miR-487b
ILMN_3167695	hsa-miR-126
ILMN_3167132	hsa-miR-517a
ILMN_3168167	hsa-miR-187
ILMN_3166992	hsa-miR-139-5p
ILMN_3168143	hsa-miR-518f*
ILMN_3167467	hsa-miR-645
ILMN_3167412	hsa-miR-628-3p
ILMN_3166959	hsa-miR-515-5p
ILMN_3168313	HS_109
ILMN_3167703	hsa-miR-150
ILMN_3167153	HS_142.1
ILMN_3167155	HS_305_b
ILMN_3168435	HS_175
ILMN_3168504	HS_228.1
ILMN_3168179	HS_185.1
ILMN_3168300	hsa-miR-518c*
ILMN_3167902	hsa-miR-149
ILMN_3167414	HS_141
ILMN_3167951	HS_116
ILMN_3167429	HS_99.1
ILMN_3167497	HS_26.1
ILMN_3167818	hsa-miR-432
ILMN_3168066	hsa-miR-581
ILMN_3167447	hsa-miR-9
ILMN_3167284	hsa-miR-549
ILMN_3167277	HS_242
ILMN_3167746	hsa-miR-580
ILMN_3166958	hsa-miR-143
ILMN_3168423	hsa-miR-558
ILMN_3167342	HS_75.1
ILMN_3168463	hsa-let-7e
ILMN_3167422	hsa-miR-98
ILMN_3167189	hsa-let-7f
ILMN_3167057	HS_108.1
ILMN_3167971	hsa-let-7a
ILMN_3168513	hsa-let-7c
ILMN_3167970	hsa-let-7b
ILMN_3166990	HS_179
ILMN_3168365	hsa-let-7g
ILMN_3168316	hsa-let-7i
ILMN_3167167	hsa-miR-190
ILMN_3168381	HS_84
ILMN_3167214	HS_275
ILMN_3167523	hsa-miR-219-5p
ILMN_3168499	hsa-miR-518a-5p
ILMN_3167260	hsa-miR-19b
ILMN_3166985	HS_23
ILMN_3168228	hsa-miR-448
ILMN_3167082	HS_244
ILMN_3167164	hsa-miR-371-3p
ILMN_3167807	hsa-miR-661
ILMN_3167392	hsa-miR-532-5p
ILMN_3167595	HS_278
ILMN_3167702	hsa-miR-345:9.1
ILMN_3167836	HS_8
ILMN_3168098	HS_46
ILMN_3167426	hsa-miR-17-5p:9.1
ILMN_3167581	hsa-miR-520a-3p
ILMN_3168114	hsa-miR-516a-3p
ILMN_3167075	hsa-miR-520f
ILMN_3168388	hsa-miR-7
ILMN_3168320	hsa-miR-1
