Reporter ID	miRNA ID
A_25_P00010316	hsa-miR-9*
A_25_P00012437	hsa-miR-450a
A_25_P00014865	hsa-miR-494
A_25_P00013683	hsa-miR-374b*
A_25_P00010773	hsa-miR-617
A_25_P00010226	hsa-miR-623
A_25_P00012366	hsa-miR-337-3p
A_25_P00012524	hsa-miR-519e
A_25_P00013401	hsa-miR-132*
A_25_P00012474	hsa-miR-490-5p
A_25_P00013373	hsa-miR-23b*
A_25_P00013086	hsa-miR-939
A_25_P00013181	hsa-miR-23a*
A_25_P00010630	hsa-miR-28-5p
A_25_P00014979	hsa-miR-99b*
A_25_P00010629	hsa-miR-203
A_25_P00011003	hsa-miR-9
A_25_P00014138	hsa-miR-518a-5p
A_25_P00011023	hsa-miR-610
A_25_P00010876	hsa-miR-191*
A_25_P00013289	hsa-miR-30d*
A_25_P00012855	hsa-miR-654-3p
A_25_P00013024	hsa-miR-301b
A_25_P00012692	hsa-miR-532-3p
A_25_P00012274	hsa-miR-29c
A_25_P00012424	hsa-miR-423-3p
A_25_P00013496	hsa-miR-99b*
A_25_P00011758	kshv-miR-K12-12
A_25_P00013815	ebv-miR-BART13*
A_25_P00013159	hsa-miR-19a*
A_25_P00010132	hsa-miR-148a
A_25_P00010051	hsa-miR-517b
A_25_P00011864	kshv-miR-K12-11
A_25_P00013386	hsa-miR-122*
A_25_P00013445	hsa-miR-146a*
A_25_P00013060	hsa-miR-933
A_25_P00011744	ebv-miR-BART5
A_25_P00012490	hsa-miR-146b-3p
A_25_P00012625	hsa-miR-499-5p
A_25_P00013074	hsa-miR-936
A_25_P00014136	hsa-miR-518a-5p
A_25_P00012038	hsa-miR-101
A_25_P00013729	ebv-miR-BART2-3p
A_25_P00014589	hsa-miR-125b-2*
A_25_P00014532	hsa-miR-192*
A_25_P00014947	hsa-miR-1233
A_25_P00010265	hsa-miR-608
A_25_P00010037	hsa-miR-220a
A_25_P00012453	hsa-miR-409-5p
A_25_P00011032	hsa-miR-627
A_25_P00012632	hsa-miR-500
A_25_P00012933	hsa-miR-220c
A_25_P00011311	hsa-miR-621
A_25_P00010868	hsa-miR-192
A_25_P00010162	hsa-miR-302d
A_25_P00010504	hsa-miR-205
A_25_P00010696	hsa-miR-519e*
A_25_P00012954	hsa-miR-875-5p
A_25_P00012543	hsa-miR-519b-3p
A_25_P00011058	hsa-miR-598
