"##For information about the Annotation file content,  please see the bundled README file."		
#%create_date=2009-11-13 GMT-08:00 20:57:17		
#%chip_type=HT_HG-U133A		
#%genome-species=Homo sapiens		
#%genome-version=hg19		
#%genome-version-ucsc=hg19		
#%genome-version-ncbi=GRCh37		
#%genome-version-create_date=2009-02-00		
#%netaffx-annotation-date=2009-11-23		
#%netaffx-annotation-netaffx-build=30		
#%netaffx-annotation-tabular-format-version=1.0		
Probe Set ID	Gene Symbol	Entrez Gene
200782_at	ANXA5	308
200783_s_at	STMN1	3925
200784_s_at	LRP1	4035
200785_s_at	LRP1	4035
200786_at	PSMB7	5695
200787_s_at	PEA15	8682
200788_s_at	PEA15	8682
200789_at	ECH1	1891
200790_at	ODC1	4953
200791_s_at	IQGAP1	8826
200792_at	XRCC6	2547
200793_s_at	ACO2	50
200794_x_at	DAZAP2	9802
200795_at	SPARCL1	8404
200796_s_at	MCL1	4170
200797_s_at	MCL1	4170
200798_x_at	MCL1	4170
200799_at	HSPA1A	3303
200800_s_at	HSPA1A /// HSPA1B	3303 /// 3304
200801_x_at	ACTB	60
200802_at	SARS	6301
200803_s_at	TMBIM6	7009
200804_at	TMBIM6	7009
200805_at	LMAN2	10960
200806_s_at	HSPD1	3329
200807_s_at	HSPD1	3329
200808_s_at	ZYX	7791
200809_x_at	RPL12	6136
200810_s_at	CIRBP	1153
200811_at	CIRBP	1153
200812_at	CCT7	10574
200813_s_at	PAFAH1B1	5048
200814_at	PSME1	5720
200815_s_at	PAFAH1B1	5048
200816_s_at	PAFAH1B1	5048
200817_x_at	RPS10	6204
200818_at	ATP5O	539
200819_s_at	RPS15	6209
200820_at	PSMD8	5714
200821_at	LAMP2	3920
200822_x_at	TPI1	7167
200823_x_at	RPL29	6159
200824_at	GSTP1	2950
200825_s_at	HYOU1	10525
200826_at	SNRPD2	6633
200827_at	PLOD1	5351
200828_s_at	ZNF207	7756
200829_x_at	ZNF207	7756
200830_at	PSMD2	5708
200831_s_at	SCD	6319
200832_s_at	SCD	6319
200833_s_at	hCG_1757335 /// RAP1B	5908 /// 643752
200834_s_at	LOC100291837 /// RPS21	100291837 /// 6227
200835_s_at	MAP4	4134
200836_s_at	MAP4	4134
200837_at	BCAP31	10134
200838_at	CTSB	1508
200839_s_at	CTSB	1508
200840_at	KARS	3735
200841_s_at	EPRS	2058
200842_s_at	EPRS	2058
200843_s_at	EPRS	2058
200844_s_at	PRDX6	9588
200845_s_at	PRDX6	9588
200846_s_at	PPP1CA	5499
200847_s_at	TMEM66	51669
200848_at	AHCYL1	10768
200849_s_at	AHCYL1	10768
200850_s_at	AHCYL1	10768
200851_s_at	KIAA0174	9798
200852_x_at	GNB2	2783
200853_at	H2AFZ	3015
200854_at	NCOR1	9611
200855_at	C20orf191 /// LOC100131704 /// NCOR1	100131704 /// 149934 /// 9611
200856_x_at	C20orf191 /// LOC100131704 /// NCOR1	100131704 /// 149934 /// 9611
200857_s_at	NCOR1	9611
200858_s_at	RPS8	6202
200859_x_at	FLNA	2316
200860_s_at	CNOT1	23019
200861_at	CNOT1	23019
200862_at	DHCR24	1718
200863_s_at	RAB11A	8766
200864_s_at	RAB11A	8766
