SUBJECT_ID	BIOSPECIMEN_ID	ARRAY DESIGN 	RDA_FILE	RDA_DESCRIPTION
P_172	GSM553014		BRC_BUFFA_2011_01_microRNA.Rda	Median Normalization
P_173	GSM553021		BRC_BUFFA_2011_01_microRNA.Rda	Median Normalization
P_174	GSM552982		BRC_BUFFA_2011_01_microRNA.Rda	Median Normalization
P_175	GSM553012		BRC_BUFFA_2011_01_microRNA.Rda	Median Normalization
P_176	GSM553039		BRC_BUFFA_2011_01_microRNA.Rda	Median Normalization
P_177	GSM553056		BRC_BUFFA_2011_01_microRNA.Rda	Median Normalization
P_178	GSM553090		BRC_BUFFA_2011_01_microRNA.Rda	Median Normalization
P_180	GSM552998		BRC_BUFFA_2011_01_microRNA.Rda	Median Normalization
P_181	GSM552999		BRC_BUFFA_2011_01_microRNA.Rda	Median Normalization
P_183	GSM553086		BRC_BUFFA_2011_01_microRNA.Rda	Median Normalization
P_184	GSM553130		BRC_BUFFA_2011_01_microRNA.Rda	Median Normalization
P_185	GSM553002		BRC_BUFFA_2011_01_microRNA.Rda	Median Normalization
P_186	GSM553007		BRC_BUFFA_2011_01_microRNA.Rda	Median Normalization
P_187	GSM553085		BRC_BUFFA_2011_01_microRNA.Rda	Median Normalization
P_188	GSM553061		BRC_BUFFA_2011_01_microRNA.Rda	Median Normalization
P_189	GSM553094		BRC_BUFFA_2011_01_microRNA.Rda	Median Normalization
P_190	GSM552993		BRC_BUFFA_2011_01_microRNA.Rda	Median Normalization
P_191	GSM552995		BRC_BUFFA_2011_01_microRNA.Rda	Median Normalization
P_192	GSM552997		BRC_BUFFA_2011_01_microRNA.Rda	Median Normalization
P_193	GSM553155		BRC_BUFFA_2011_01_microRNA.Rda	Median Normalization
P_195	GSM553063		BRC_BUFFA_2011_01_microRNA.Rda	Median Normalization
P_196	GSM552961		BRC_BUFFA_2011_01_microRNA.Rda	Median Normalization
P_197	GSM552963		BRC_BUFFA_2011_01_microRNA.Rda	Median Normalization
P_198	GSM552972		BRC_BUFFA_2011_01_microRNA.Rda	Median Normalization
P_199	GSM552984		BRC_BUFFA_2011_01_microRNA.Rda	Median Normalization
P_200	GSM552987		BRC_BUFFA_2011_01_microRNA.Rda	Median Normalization
P_201	GSM553013		BRC_BUFFA_2011_01_microRNA.Rda	Median Normalization
P_202	GSM553019		BRC_BUFFA_2011_01_microRNA.Rda	Median Normalization
P_203	GSM552977		BRC_BUFFA_2011_01_microRNA.Rda	Median Normalization
P_204	GSM552978		BRC_BUFFA_2011_01_microRNA.Rda	Median Normalization
P_205	GSM552981		BRC_BUFFA_2011_01_microRNA.Rda	Median Normalization
P_206	GSM552986		BRC_BUFFA_2011_01_microRNA.Rda	Median Normalization
P_207	GSM552988		BRC_BUFFA_2011_01_microRNA.Rda	Median Normalization
P_208	GSM552991		BRC_BUFFA_2011_01_microRNA.Rda	Median Normalization
P_209	GSM553000		BRC_BUFFA_2011_01_microRNA.Rda	Median Normalization
P_210	GSM553029		BRC_BUFFA_2011_01_microRNA.Rda	Median Normalization
P_211	GSM552992		BRC_BUFFA_2011_01_microRNA.Rda	Median Normalization
P_212	GSM553001		BRC_BUFFA_2011_01_microRNA.Rda	Median Normalization
P_213	GSM553070		BRC_BUFFA_2011_01_microRNA.Rda	Median Normalization
P_214	GSM553124		BRC_BUFFA_2011_01_microRNA.Rda	Median Normalization
P_215	GSM553134		BRC_BUFFA_2011_01_microRNA.Rda	Median Normalization
P_216	GSM553162		BRC_BUFFA_2011_01_microRNA.Rda	Median Normalization
P_217	GSM553078		BRC_BUFFA_2011_01_microRNA.Rda	Median Normalization
P_218	GSM553042		BRC_BUFFA_2011_01_microRNA.Rda	Median Normalization
P_219	GSM553044		BRC_BUFFA_2011_01_microRNA.Rda	Median Normalization
