FILE_NAME	PEAK_NAME	RETENTION_TIME	MZ	
20101220_crc_metabolomics_urine_neg_40_log2.Rda	0.3095_226.8158	0.3095	226.8158	
20101220_crc_metabolomics_urine_neg_40_log2.Rda	0.2523_226.9646	0.2523	226.9646	
20101220_crc_metabolomics_urine_neg_40_log2.Rda	2.0917_228.0863	2.0917	228.0863	
20101220_crc_metabolomics_urine_neg_40_log2.Rda	0.2928_228.9019	0.2928	228.9019	
20101220_crc_metabolomics_urine_neg_40_log2.Rda	0.2532_228.9635	0.2532	228.9635	
20101220_crc_metabolomics_urine_neg_40_log2.Rda	3.3067_229.1065	3.3067	229.1065	
20101220_crc_metabolomics_urine_neg_40_log2.Rda	0.4004_232.8819	0.4004	232.8819	
20101220_crc_metabolomics_urine_neg_40_log2.Rda	0.3089_233.0757	0.3089	233.0757	
20101220_crc_metabolomics_urine_neg_40_log2.Rda	3.797_234.0005	3.797	234.0005	
20101220_crc_metabolomics_urine_neg_40_log2.Rda	0.3051_234.8621	0.3051	234.8621	
20101220_crc_metabolomics_urine_neg_40_log2.Rda	0.3099_236.8582	0.3099	236.8582	
20101220_crc_metabolomics_urine_neg_40_log2.Rda	3.2233_237.0724	3.2233	237.0724	
20101220_crc_metabolomics_urine_neg_40_log2.Rda	3.8447_237.1226	3.8447	237.1226	
20101220_crc_metabolomics_urine_neg_40_log2.Rda	3.1227_237.1236	3.1227	237.1236	
20101220_crc_metabolomics_urine_neg_40_log2.Rda	2.7194_238.0676	2.7194	238.0676	
20101220_crc_metabolomics_urine_neg_40_log2.Rda	5.4899_239.0912	5.4899	239.0912	
20101220_crc_metabolomics_urine_neg_40_log2.Rda	3.5889_239.1391	3.5889	239.1391	
20101220_crc_metabolomics_urine_neg_40_log2.Rda	2.993_240.0845	2.993	240.0845	
20101220_crc_metabolomics_urine_neg_40_log2.Rda	3.5425_241.1069	3.5425	241.1069	
20101220_crc_metabolomics_urine_neg_40_log2.Rda	2.2829_241.1184	2.2829	241.1184	
20101220_crc_metabolomics_urine_neg_40_log2.Rda	4.9159_241.1424	4.9159	241.1424	
20101220_crc_metabolomics_urine_neg_40_log2.Rda	2.904_242.1011	2.904	242.1011	
20101220_crc_metabolomics_urine_neg_40_log2.Rda	5.3725_242.1752	5.3725	242.1752	
20101220_crc_metabolomics_urine_neg_40_log2.Rda	0.3267_243.0606	0.3267	243.0606	
20101220_crc_metabolomics_urine_neg_40_log2.Rda	3.6891_243.077	3.6891	243.077	
20101220_crc_metabolomics_urine_neg_40_log2.Rda	2.6722_243.1344	2.6722	243.1344	
20101220_crc_metabolomics_urine_neg_40_log2.Rda	0.2889_244.8911	0.2889	244.8911	
20101220_crc_metabolomics_urine_neg_40_log2.Rda	2.1203_245.0922	2.1203	245.0922	
20101220_crc_metabolomics_urine_neg_40_log2.Rda	3.4189_245.0926	3.4189	245.0926	
20101220_crc_metabolomics_urine_neg_40_log2.Rda	5.4783_245.1381	5.4783	245.1381	
20101220_crc_metabolomics_urine_neg_40_log2.Rda	4.2889_245.1387	4.2889	245.1387	
20101220_crc_metabolomics_urine_neg_40_log2.Rda	4.7084_245.1388	4.7084	245.1388	
20101220_crc_metabolomics_urine_neg_40_log2.Rda	3.1647_246.0742	3.1647	246.0742	
20101220_crc_metabolomics_urine_neg_40_log2.Rda	5.2073_246.152	5.2073	246.152	
20101220_crc_metabolomics_urine_neg_40_log2.Rda	4.27_247.0575	4.27	247.0575	
20101220_crc_metabolomics_urine_neg_40_log2.Rda	3.4084_247.1542	3.4084	247.1542	
20101220_crc_metabolomics_urine_neg_40_log2.Rda	3.6676_248.0955	3.6676	248.0955	
20101220_crc_metabolomics_urine_neg_40_log2.Rda	0.2687_248.96	0.2687	248.96	
20101220_crc_metabolomics_urine_neg_40_log2.Rda	2.3358_249.0359	2.3358	249.0359	
20101220_crc_metabolomics_urine_neg_40_log2.Rda	4.0511_251.139	4.0511	251.139	
20101220_crc_metabolomics_urine_neg_40_log2.Rda	5.174_253.1073	5.174	253.1073	
20101220_crc_metabolomics_urine_neg_40_log2.Rda	0.2805_254.9204	0.2805	254.9204	
20101220_crc_metabolomics_urine_neg_40_log2.Rda	0.3715_254.9805	0.3715	254.9805	
20101220_crc_metabolomics_urine_neg_40_log2.Rda	3.124_255.1342	3.124	255.1342	
20101220_crc_metabolomics_urine_neg_40_log2.Rda	8.3218_255.2315	8.3218	255.2315	
20101220_crc_metabolomics_urine_neg_40_log2.Rda	0.3147_256.0581	0.3147	256.0581	
20101220_crc_metabolomics_urine_neg_40_log2.Rda	3.5834_257.1501	3.5834	257.1501	
20101220_crc_metabolomics_urine_neg_40_log2.Rda	1.7927_258.0365	1.7927	258.0365	
20101220_crc_metabolomics_urine_neg_40_log2.Rda	2.508_260.1101	2.508	260.1101	
20101220_crc_metabolomics_urine_neg_40_log2.Rda	2.1289_263.1029	2.1289	263.1029	
20101220_crc_metabolomics_urine_neg_40_log2.Rda	2.7163_264.0865	2.7163	264.0865	
20101220_crc_metabolomics_urine_neg_40_log2.Rda	0.2667_264.9338	0.2667	264.9338	
20101220_crc_metabolomics_urine_neg_40_log2.Rda	5.0447_266.0998	5.0447	266.0998	
20101220_crc_metabolomics_urine_neg_40_log2.Rda	0.3073_266.8047	0.3073	266.8047	
20101220_crc_metabolomics_urine_neg_40_log2.Rda	4.2901_267.1205	4.2901	267.1205	
20101220_crc_metabolomics_urine_neg_40_log2.Rda	6.1067_267.1235	6.1067	267.1235	
20101220_crc_metabolomics_urine_neg_40_log2.Rda	0.3092_268.8016	0.3092	268.8016	
20101220_crc_metabolomics_urine_neg_40_log2.Rda	3.274_269.0339	3.274	269.0339	
20101220_crc_metabolomics_urine_neg_40_log2.Rda	2.892_269.0997	2.892	269.0997	
20101220_crc_metabolomics_urine_neg_40_log2.Rda	3.8312_269.1392	3.8312	269.1392	
20101220_crc_metabolomics_urine_neg_40_log2.Rda	4.5458_269.1504	4.5458	269.1504	
20101220_crc_metabolomics_urine_neg_40_log2.Rda	3.5499_269.1505	3.5499	269.1505	
20101220_crc_metabolomics_urine_neg_40_log2.Rda	4.052_269.1508	4.052	269.1508	
20101220_crc_metabolomics_urine_neg_40_log2.Rda	0.2802_270.8949	0.2802	270.8949	
20101220_crc_metabolomics_urine_neg_40_log2.Rda	4.8284_271.1646	4.8284	271.1646	
20101220_crc_metabolomics_urine_neg_40_log2.Rda	5.4596_272.1683	5.4596	272.1683	
20101220_crc_metabolomics_urine_neg_40_log2.Rda	0.2501_272.9582	0.2501	272.9582	
20101220_crc_metabolomics_urine_neg_40_log2.Rda	2.5495_273.0907	2.5495	273.0907	
20101220_crc_metabolomics_urine_neg_40_log2.Rda	3.2738_275.0518	3.2738	275.0518	
20101220_crc_metabolomics_urine_neg_40_log2.Rda	6.6196_275.165	6.6196	275.165	
20101220_crc_metabolomics_urine_neg_40_log2.Rda	0.2959_276.8404	0.2959	276.8404	
20101220_crc_metabolomics_urine_neg_40_log2.Rda	2.6463_279.0982	2.6463	279.0982	
20101220_crc_metabolomics_urine_neg_40_log2.Rda	3.3059_280.9973	3.3059	280.9973	
20101220_crc_metabolomics_urine_neg_40_log2.Rda	3.6011_281.0332	3.6011	281.0332	
20101220_crc_metabolomics_urine_neg_40_log2.Rda	2.8969_283.0813	2.8969	283.0813	
20101220_crc_metabolomics_urine_neg_40_log2.Rda	4.6738_283.118	4.6738	283.118	
20101220_crc_metabolomics_urine_neg_40_log2.Rda	5.3851_283.1185	5.3851	283.1185	
20101220_crc_metabolomics_urine_neg_40_log2.Rda	4.9702_283.1653	4.9702	283.1653	
20101220_crc_metabolomics_urine_neg_40_log2.Rda	0.308_284.7759	0.308	284.7759	
20101220_crc_metabolomics_urine_neg_40_log2.Rda	4.7716_285.1443	4.7716	285.1443	
20101220_crc_metabolomics_urine_neg_40_log2.Rda	4.1592_286.1089	4.1592	286.1089	
20101220_crc_metabolomics_urine_neg_40_log2.Rda	0.2929_286.8628	0.2929	286.8628	
20101220_crc_metabolomics_urine_neg_40_log2.Rda	3.6067_287.0516	3.6067	287.0516	
20101220_crc_metabolomics_urine_neg_40_log2.Rda	3.716_288.1286	3.716	288.1286	
20101220_crc_metabolomics_urine_neg_40_log2.Rda	0.2966_288.859	0.2966	288.859	
20101220_crc_metabolomics_urine_neg_40_log2.Rda	0.2488_288.9359	0.2488	288.9359	
20101220_crc_metabolomics_urine_neg_40_log2.Rda	6.1066_289.105	6.1066	289.105	
20101220_crc_metabolomics_urine_neg_40_log2.Rda	3.4077_289.1191	3.4077	289.1191	
20101220_crc_metabolomics_urine_neg_40_log2.Rda	5.2973_290.1007	5.2973	290.1007	
20101220_crc_metabolomics_urine_neg_40_log2.Rda	0.3063_292.8216	0.3063	292.8216	
20101220_crc_metabolomics_urine_neg_40_log2.Rda	6.0035_293.1752	6.0035	293.1752	
20101220_crc_metabolomics_urine_neg_40_log2.Rda	0.2546_294.9525	0.2546	294.9525	
20101220_crc_metabolomics_urine_neg_40_log2.Rda	3.797_295.9716	3.797	295.9716	
20101220_crc_metabolomics_urine_neg_40_log2.Rda	0.2909_296.8891	0.2909	296.8891	
20101220_crc_metabolomics_urine_neg_40_log2.Rda	3.914_300.2172	3.914	300.2172	
20101220_crc_metabolomics_urine_neg_40_log2.Rda	2.5246_302.1138	2.5246	302.1138	
20101220_crc_metabolomics_urine_neg_40_log2.Rda	4.0262_302.1417	4.0262	302.1417	
20101220_crc_metabolomics_urine_neg_40_log2.Rda	0.2966_302.8473	0.2966	302.8473	
20101220_crc_metabolomics_urine_neg_40_log2.Rda	4.8869_303.0829	4.8869	303.0829	
20101220_crc_metabolomics_urine_neg_40_log2.Rda	5.2321_305.1605	5.2321	305.1605	
20101220_crc_metabolomics_urine_neg_40_log2.Rda	1.9047_308.0764	1.9047	308.0764	
